City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Piney Green,US,2022-02-04 04:10:36,34.716,-77.3202,66.15,85,20,11.5
104,Flin Flon,CA,2022-02-04 04:07:53,54.7682,-101.865,-18.92,97,25,5.86
105,San Patricio,US,2022-02-04 04:06:21,28.017,-97.5169,35.83,75,74,16.15
106,Provideniya,RU,2022-02-04 04:10:37,64.3833,-173.3,1.99,59,6,22.08
107,Bonavista,CA,2022-02-04 04:10:37,48.6499,-53.1147,39.11,92,100,25.21
108,Prince Rupert,CA,2022-02-04 04:10:38,54.3161,-130.3201,41.65,93,100,17.67
109,Cairns,AU,2022-02-04 04:10:38,-16.9167,145.7667,91.35,55,100,1.14
110,Bluff,NZ,2022-02-04 04:05:44,-46.6,168.3333,52.81,84,100,5.46
111,Georgetown,MY,2022-02-04 04:10:39,5.4112,100.3354,89.53,62,20,5.75
112,Porto Novo,BJ,2022-02-04 04:10:39,6.4965,2.6036,75.79,88,0,2.21
113,Gostovici,BA,2022-02-04 04:10:39,44.415,18.1583,31.48,82,100,5.61
114,Concordia,AR,2022-02-04 04:10:40,-31.393,-58.0209,72.79,90,57,3.0
115,Puerto Escondido,MX,2022-02-04 04:10:40,15.85,-97.0667,74.23,78,0,5.75
116,Port Elizabeth,ZA,2022-02-04 04:10:40,-33.918,25.5701,66.09,68,99,13.24
117,Bambous Virieux,MU,2022-02-04 04:10:41,-20.3428,57.7575,81.21,87,99,20.78
118,East London,ZA,2022-02-04 04:10:41,-33.0153,27.9116,69.62,77,100,14.85
119,Hermanus,ZA,2022-02-04 04:10:42,-34.4187,19.2345,60.91,72,93,9.89
120,Kupang,ID,2022-02-04 04:10:42,-10.1667,123.5833,81.54,82,76,11.36
121,Port Huron,US,2022-02-04 04:10:42,42.9709,-82.4249,19.98,73,100,21.0
122,Leningradskiy,RU,2022-02-04 04:10:43,69.3833,178.4167,-10.32,83,3,7.58
123,Coquimbo,CL,2022-02-04 04:10:43,-29.9533,-71.3436,64.13,82,20,2.3
124,Marienburg,PL,2022-02-04 04:10:44,54.0359,19.0266,39.11,99,100,7.61
125,Bandipur,NP,2022-02-04 04:10:44,27.9333,84.4167,47.39,87,100,1.43
126,Nizhnyaya Omka,RU,2022-02-04 04:10:45,55.4338,74.9426,15.67,83,100,13.22
127,Velsk,RU,2022-02-04 04:10:45,61.0701,42.0983,-14.19,100,98,2.62
128,Kaitangata,NZ,2022-02-04 04:10:45,-46.2817,169.8464,49.35,95,100,2.98
129,Bengkulu,ID,2022-02-04 04:10:15,-3.8004,102.2655,80.4,76,97,2.73
130,Ahipara,NZ,2022-02-04 04:10:46,-35.1667,173.1667,76.42,71,56,14.03
131,Yar-Sale,RU,2022-02-04 04:10:46,66.8333,70.8333,-2.09,98,98,4.79
132,Bandarbeyla,SO,2022-02-04 04:10:47,9.4942,50.8122,73.51,68,4,13.02
133,Cabo San Lucas,MX,2022-02-04 04:06:38,22.8909,-109.9124,67.51,56,34,5.64
134,Garden City,US,2022-02-04 04:09:47,42.3256,-83.331,19.35,82,100,1.99
135,Kununurra,AU,2022-02-04 04:10:47,-15.7667,128.7333,89.58,70,40,9.22
136,Qaanaaq,GL,2022-02-04 04:10:48,77.484,-69.3632,-12.75,55,99,8.59
137,Saint-Philippe,RE,2022-02-04 04:10:48,-21.3585,55.7679,80.15,92,100,32.3
138,Sao Joao Da Barra,BR,2022-02-04 04:10:09,-21.6403,-41.0511,73.27,98,98,5.57
139,Ati,TD,2022-02-04 04:11:49,13.2154,18.3353,58.57,23,21,10.94
140,Urengoy,RU,2022-02-04 04:11:49,65.9667,78.3667,5.07,97,100,5.84
141,Beasain,ES,2022-02-04 04:11:49,43.0502,-2.2009,44.89,87,99,2.17
142,Faanui,PF,2022-02-04 04:11:50,-16.4833,-151.75,81.32,71,2,15.26
143,Bredasdorp,ZA,2022-02-04 04:11:50,-34.5322,20.0403,59.29,63,100,5.64
144,Jibuti,DJ,2022-02-04 04:11:50,11.5,42.5,65.62,72,58,8.86
145,Ponta Do Sol,PT,2022-02-04 04:11:51,32.6667,-17.1,67.01,69,19,3.53
146,Port Augusta,AU,2022-02-04 04:11:51,-32.5,137.7667,85.71,27,0,11.54
147,Rocha,UY,2022-02-04 04:11:52,-34.4833,-54.3333,70.23,97,100,7.58
148,Upernavik,GL,2022-02-04 04:11:52,72.7868,-56.1549,4.84,68,100,5.66
149,Lavrentiya,RU,2022-02-04 04:11:52,65.5833,-171.0,1.96,55,0,22.73
150,Jalu,LY,2022-02-04 04:11:53,29.0331,21.5482,49.32,63,6,12.06
151,Avera,US,2022-02-04 04:11:53,33.194,-82.5271,69.71,78,100,15.39
152,Rio Grande,BR,2022-02-04 04:11:54,-32.035,-52.0986,70.95,86,100,8.66
153,Sinnamary,GF,2022-02-04 04:11:54,5.3833,-52.95,76.26,90,99,10.38
154,Sembakung,ID,2022-02-04 04:11:42,3.8167,117.25,85.93,51,96,2.48
155,Biloela,AU,2022-02-04 04:11:55,-24.4167,150.5,87.94,41,86,13.56
156,Sept-Iles,CA,2022-02-04 04:08:47,50.2001,-66.3821,3.06,60,100,7.0
157,Lata,PT,2022-02-04 04:11:55,40.1629,-8.3327,47.07,97,98,1.1
158,Luderitz,NA,2022-02-04 04:11:55,-26.6481,15.1594,68.18,70,2,15.05
159,Nanortalik,GL,2022-02-04 04:11:56,60.1432,-45.2371,26.35,94,100,15.73
160,Griffith,US,2022-02-04 04:11:56,41.5284,-87.4237,26.53,71,100,3.0
161,Bubaque,GW,2022-02-04 04:11:57,11.2833,-15.8333,77.02,71,0,8.81
162,Hasaki,JP,2022-02-04 04:11:57,35.7333,140.8333,46.8,58,100,6.87
163,Husavik,IS,2022-02-04 04:11:57,66.0449,-17.3389,29.59,81,100,15.97
164,Tuy Hoa,VN,2022-02-04 04:08:59,13.0833,109.3,73.13,88,92,11.63
165,Nijar,ES,2022-02-04 04:11:58,36.9665,-2.206,51.44,94,100,2.3
166,Sangar,RU,2022-02-04 04:11:58,63.9242,127.4739,-19.97,94,98,3.91
167,Carnarvon,AU,2022-02-04 04:11:59,-24.8667,113.6333,96.87,36,32,9.22
168,Abu Samrah,SY,2022-02-04 04:11:59,35.3029,37.1841,42.76,94,99,2.53
169,Pechenga,RU,2022-02-04 04:11:59,69.5259,31.1703,0.46,98,100,4.88
170,Miquelon,PM,2022-02-04 04:12:00,47.0975,-56.3814,38.34,97,100,23.98
171,Saint-Francois,FR,2022-02-04 04:12:00,46.4154,3.9054,40.68,83,100,4.61
172,Kangaatsiaq,GL,2022-02-04 04:10:15,68.3065,-53.4641,10.13,82,100,27.13
173,Sura,RU,2022-02-04 04:12:01,53.8879,45.7419,28.15,97,100,8.66
174,Hauterive,FR,2022-02-04 04:10:27,46.0901,3.4459,41.02,85,74,3.83
175,Oak Ridge,US,2022-02-04 04:08:42,36.0104,-84.2696,64.69,97,100,0.0
176,Ise,JP,2022-02-04 04:12:02,34.4833,136.7,45.72,53,40,12.66
177,Norman Wells,CA,2022-02-04 04:12:02,65.282,-126.8329,-37.95,100,25,3.58
178,Acapulco,MX,2022-02-04 04:09:45,16.8634,-99.8901,76.82,78,0,4.61
179,Markdorf,DE,2022-02-04 04:12:03,47.7167,9.4,41.34,91,75,10.0
180,Alta Floresta,BR,2022-02-04 04:12:03,-9.8756,-56.0861,71.06,96,53,0.76
181,Naryshkino,RU,2022-02-04 04:12:04,52.9678,35.7268,16.36,96,100,4.94
182,Tornio,FI,2022-02-04 04:12:04,65.8481,24.1466,1.42,97,100,8.88
183,Tabou,CI,2022-02-04 04:13:04,4.423,-7.3528,77.47,85,13,2.1
184,Lerwick,GB,2022-02-04 04:13:05,60.1545,-1.1494,39.2,65,83,34.2
185,Herat,AF,2022-02-04 04:13:05,34.5,62.0,41.32,32,95,8.05
186,Senno,RU,2022-02-04 04:13:05,59.5336,33.9167,-7.42,100,100,2.64
187,Victoria Point,AU,2022-02-04 04:13:06,-27.5833,153.3,82.26,64,43,14.0
188,Tura,IN,2022-02-04 04:13:06,25.5198,90.2201,57.22,89,100,1.1
189,Sao Filipe,CV,2022-02-04 04:13:07,14.8961,-24.4956,72.36,76,0,7.74
190,Bilibino,RU,2022-02-04 04:13:07,68.0546,166.4372,-5.73,69,0,4.43
191,Hopkinsville,US,2022-02-04 04:13:07,36.8656,-87.4886,30.72,94,100,12.86
192,Katherine,AU,2022-02-04 04:13:08,-14.4667,132.2667,89.92,58,93,5.75
193,Madang,PG,2022-02-04 04:13:08,-5.2246,145.7966,86.18,64,98,7.92
194,Sarai Mir,IN,2022-02-04 04:13:09,26.0167,82.9167,60.78,75,6,14.9
195,Kudahuvadhoo,MV,2022-02-04 04:13:09,2.6708,72.8944,81.28,72,2,10.31
196,Geraldton,AU,2022-02-04 04:13:09,-28.7667,114.6,106.21,10,0,8.05
197,Westport,US,2022-02-04 04:13:10,41.1415,-73.3579,51.94,97,100,0.0
198,Zhuhai,CN,2022-02-04 04:13:10,22.2769,113.5678,62.98,67,20,21.85
199,Linares,CL,2022-02-04 04:13:11,-35.85,-71.6,58.68,78,1,0.56
200,Kieta,PG,2022-02-04 04:09:07,-6.2167,155.6333,81.41,79,100,7.4
201,Aykhal,RU,2022-02-04 04:13:11,66.0,111.5,-17.7,100,100,2.59
202,Roebourne,AU,2022-02-04 04:13:11,-20.7833,117.1333,93.94,42,61,11.23
203,Waling,NP,2022-02-04 04:13:12,27.9833,83.7667,51.49,88,100,3.11
204,San Quintin,MX,2022-02-04 04:13:12,30.4833,-115.95,56.08,66,0,3.98
205,Sakakah,SA,2022-02-04 04:13:13,29.9697,40.2064,49.64,52,0,10.29
206,Cidreira,BR,2022-02-04 04:13:13,-30.1811,-50.2056,75.52,90,88,20.33
207,Petropavlovsk-Kamchatskiy,RU,2022-02-04 04:13:13,53.0452,158.6483,30.79,47,75,13.42
208,Constitucion,CL,2022-02-04 04:13:12,-35.3333,-72.4167,58.3,93,55,5.82
209,Walvis Bay,NA,2022-02-04 04:13:14,-22.9575,14.5053,66.09,80,16,8.68
210,Dalkola,IN,2022-02-04 04:13:14,25.85,87.85,59.29,81,100,18.52
211,Dakar,SN,2022-02-04 04:13:15,14.6937,-17.4441,70.68,62,0,7.43
212,Hurghada,EG,2022-02-04 04:13:15,27.2574,33.8129,55.35,44,1,9.62
213,Batagay,RU,2022-02-04 04:09:59,67.6333,134.6333,-28.53,98,63,0.87
214,Belmonte,BR,2022-02-04 04:09:48,-15.8631,-38.8828,79.3,82,86,4.29
215,Pierre,US,2022-02-04 04:13:16,44.3683,-100.351,15.28,61,20,4.61
216,Dodge City,US,2022-02-04 04:12:15,37.7528,-100.0171,10.63,69,0,4.0
217,Sokolo,ML,2022-02-04 04:13:16,14.7328,-6.1219,66.87,15,4,8.81
